id,label
597,cat
598,cat
599,cat
600,ship
601,dog
602,airplane
603,bird
604,automobile
605,frog
606,cat
607,horse
608,cat
609,truck
610,frog
611,truck
612,ship
613,ship
614,dog
615,ship
616,frog
617,frog
618,frog
619,automobile
620,horse
621,horse
622,automobile
623,bird
624,horse
625,truck
626,truck
627,deer
628,deer
629,automobile
630,bird
631,dog
632,frog
633,ship
634,horse
635,frog
636,ship
637,cat
638,airplane
639,cat
640,dog
641,cat
642,airplane
643,horse
644,truck
645,automobile
646,cat
647,deer
648,deer
649,dog
650,cat
651,truck
652,cat
653,frog
654,truck
655,airplane
656,automobile
657,automobile
658,deer
659,automobile
660,truck
661,deer
662,horse
663,frog
664,cat
665,airplane
666,truck
667,airplane
668,automobile
669,cat
670,frog
671,dog
672,frog
673,cat
674,bird
675,ship
676,cat
677,automobile
678,airplane
679,dog
680,truck
681,frog
682,deer
683,airplane
684,truck
685,bird
686,truck
687,frog
688,cat
689,frog
690,cat
691,bird
692,bird
693,horse
694,ship
695,cat
696,ship
697,bird
698,horse
699,dog
700,horse
701,bird
702,deer
703,ship
704,horse
705,deer
706,bird
707,truck
708,ship
709,ship
710,frog
711,airplane
712,ship
713,horse
714,deer
715,cat
716,cat
717,ship
718,horse
719,truck
720,deer
721,ship
722,ship
723,automobile
724,ship
725,ship
726,automobile
727,bird
728,frog
729,dog
730,deer
731,airplane
732,horse
733,truck
734,automobile
735,bird
736,automobile
737,deer
738,automobile
739,dog
740,bird
741,horse
742,airplane
743,horse
744,truck
745,horse
746,frog
747,frog
748,bird
749,cat
750,truck
751,airplane
752,truck
753,automobile
754,bird
755,bird
756,frog
757,ship
758,bird
759,automobile
760,cat
761,frog
762,frog
763,airplane
764,automobile
765,bird
766,horse
767,truck
768,dog
769,deer
770,truck
771,automobile
772,frog
773,frog
774,airplane
775,bird
776,cat
777,frog
778,airplane
779,frog
780,truck
781,automobile
782,horse
783,frog
784,horse
785,airplane
786,cat
787,truck
788,frog
789,ship
790,cat
791,airplane
792,horse
793,dog
794,horse
795,horse
796,automobile
797,deer
798,bird
799,bird
800,horse
801,automobile
802,bird
803,horse
804,deer
805,deer
806,ship
807,frog
808,horse
809,horse
810,bird
811,dog
812,horse
813,bird
814,truck
815,ship
816,truck
817,frog
818,ship
819,cat
820,frog
821,bird
822,airplane
823,ship
824,horse
825,cat
826,horse
827,frog
828,deer
829,cat
830,automobile
831,ship
832,bird
833,bird
834,dog
835,truck
836,automobile
837,bird
838,truck
839,bird
840,horse
841,airplane
842,horse
843,bird
844,automobile
845,airplane
846,bird
847,airplane
848,bird
849,deer
850,horse
851,truck
852,ship
853,automobile
854,airplane
855,horse
856,horse
857,airplane
858,horse
859,ship
860,deer
861,frog
862,frog
863,cat
864,airplane
865,automobile
866,cat
867,horse
868,airplane
869,automobile
870,cat
871,automobile
872,deer
873,bird
874,cat
875,ship
876,deer
877,bird
878,horse
879,horse
880,ship
881,deer
882,airplane
883,automobile
884,truck
885,airplane
886,truck
887,automobile
888,automobile
889,frog
890,deer
891,frog
892,horse
893,horse
894,automobile
895,automobile
896,cat
897,horse
898,horse
899,dog
900,cat
901,frog
902,frog
903,dog
904,ship
905,horse
906,automobile
907,frog
908,ship
909,ship
910,dog
911,cat
912,airplane
913,deer
914,airplane
915,automobile
916,deer
917,ship
918,ship
919,airplane
920,frog
921,truck
922,truck
923,truck
924,airplane
925,cat
926,ship
927,frog
928,airplane
929,airplane
930,deer
931,bird
932,cat
933,bird
934,horse
935,bird
936,bird
937,dog
938,truck
939,ship
940,truck
941,automobile
942,horse
943,frog
944,airplane
945,cat
946,airplane
947,automobile
948,cat
949,ship
950,cat
951,truck
952,frog
953,automobile
954,deer
955,horse
956,bird
957,cat
958,horse
959,ship
960,truck
961,automobile
962,automobile
963,frog
964,frog
965,frog
966,frog
967,truck
968,automobile
969,truck
970,truck
971,deer
972,frog
973,automobile
974,horse
975,airplane
976,frog
977,ship
978,automobile
979,truck
980,bird
981,truck
982,horse
983,deer
984,horse
985,ship
986,cat
987,automobile
988,bird
989,airplane
990,automobile
991,dog
992,ship
993,horse
994,frog
995,cat
996,ship
997,automobile
998,cat
999,ship
1000,dog
1001,airplane
1002,ship
1003,deer
1004,ship
1005,automobile
1006,automobile
1007,ship
1008,automobile
1009,frog
1010,airplane
1011,ship
1012,frog
1013,automobile
1014,cat
1015,deer
1016,automobile
1017,frog
1018,airplane
1019,cat
1020,automobile
1021,automobile
1022,airplane
1023,airplane
1024,cat
1025,dog
1026,frog
1027,airplane
1028,frog
1029,frog
1030,cat
1031,cat
1032,automobile
1033,cat
1034,cat
1035,frog
1036,airplane
1037,horse
1038,bird
1039,bird
1040,horse
1041,dog
1042,bird
1043,bird
1044,ship
1045,dog
1046,bird
1047,automobile
1048,automobile
1049,automobile
1050,airplane
1051,frog
1052,airplane
1053,dog
1054,automobile
1055,dog
1056,frog
1057,horse
1058,frog
1059,ship
1060,truck
1061,automobile
1062,frog
1063,deer
1064,truck
1065,cat
1066,truck
1067,airplane
1068,truck
1069,frog
1070,cat
1071,frog
1072,ship
1073,horse
1074,bird
1075,truck
1076,airplane
1077,airplane
1078,airplane
1079,frog
1080,frog
1081,frog
1082,truck
1083,bird
1084,dog
1085,deer
1086,deer
1087,frog
1088,dog
1089,frog
1090,airplane
1091,ship
1092,frog
1093,airplane
1094,frog
1095,bird
1096,horse
1097,dog
1098,automobile
1099,bird
1100,truck
1101,ship
1102,ship
1103,airplane
1104,truck
1105,deer
1106,truck
1107,horse
1108,bird
1109,airplane
1110,bird
1111,ship
1112,deer
1113,ship
1114,truck
1115,automobile
1116,dog
1117,dog
1118,horse
1119,horse
1120,dog
1121,cat
1122,ship
1123,cat
1124,cat
1125,frog
1126,airplane
1127,ship
1128,deer
1129,frog
1130,horse
1131,truck
1132,bird
1133,deer
1134,automobile
1135,frog
1136,truck
1137,truck
1138,truck
1139,ship
1140,frog
1141,automobile
1142,ship
1143,frog
1144,automobile
1145,deer
1146,bird
1147,truck
1148,bird
1149,horse
1150,horse
1151,frog
1152,airplane
1153,ship
1154,frog
1155,truck
1156,automobile
1157,horse
1158,automobile
1159,ship
1160,ship
1161,airplane
1162,horse
1163,dog
1164,ship
1165,airplane
1166,dog
1167,truck
1168,cat
1169,horse
1170,horse
1171,truck
1172,bird
1173,cat
1174,automobile
1175,truck
1176,automobile
1177,automobile
1178,frog
1179,cat
1180,cat
1181,frog
1182,automobile
1183,airplane
1184,frog
1185,automobile
1186,deer
1187,automobile
1188,airplane
1189,airplane
1190,automobile
1191,automobile
1192,frog
1193,bird
1194,deer
1195,frog
1196,bird
1197,airplane
1198,horse
1199,truck
1200,ship
1201,horse
1202,bird
1203,airplane
1204,frog
1205,ship
1206,automobile
1207,deer
1208,cat
1209,horse
1210,airplane
1211,frog
1212,automobile
1213,ship
1214,dog
1215,horse
1216,ship
1217,deer
1218,ship
1219,cat
1220,truck
1221,truck
1222,truck
1223,ship
1224,deer
1225,frog
1226,frog
1227,dog
1228,dog
1229,automobile
1230,cat
1231,truck
1232,automobile
1233,deer
1234,automobile
1235,dog
1236,automobile
1237,airplane
1238,automobile
1239,dog
1240,bird
1241,ship
1242,ship
1243,ship
1244,dog
1245,frog
1246,horse
1247,bird
1248,bird
1249,deer
1250,horse
1251,automobile
1252,dog
1253,ship
1254,bird
1255,deer
1256,truck
1257,bird
1258,automobile
1259,ship
1260,automobile
1261,truck
1262,ship
1263,ship
1264,ship
1265,truck
1266,airplane
1267,deer
1268,cat
1269,cat
1270,automobile
1271,ship
1272,horse
1273,frog
1274,cat
1275,cat
1276,dog
1277,frog
1278,bird
1279,ship
1280,cat
1281,ship
1282,truck
1283,dog
1284,ship
1285,truck
1286,ship
1287,truck
1288,automobile
1289,frog
1290,dog
1291,truck
1292,frog
1293,truck
1294,ship
1295,airplane
1296,horse
1297,airplane
1298,truck
1299,truck
1300,deer
1301,automobile
1302,frog
1303,frog
1304,deer
1305,truck
1306,automobile
1307,bird
1308,dog
1309,frog
1310,airplane
1311,ship
1312,frog
1313,automobile
1314,truck
1315,deer
1316,dog
1317,truck
1318,dog
1319,airplane
1320,horse
1321,bird
1322,airplane
1323,truck
1324,deer
1325,deer
1326,frog
1327,frog
1328,dog
1329,dog
1330,bird
1331,ship
1332,automobile
1333,horse
1334,bird
1335,automobile
1336,deer
1337,dog
1338,frog
1339,horse
1340,automobile
1341,deer
1342,horse
1343,airplane
1344,truck
1345,deer
1346,cat
1347,ship
1348,bird
1349,ship
1350,deer
1351,horse
1352,bird
1353,ship
1354,automobile
1355,truck
1356,bird
1357,truck
1358,ship
1359,truck
1360,horse
1361,truck
1362,dog
1363,automobile
1364,deer
1365,airplane
1366,ship
1367,bird
1368,cat
1369,ship
1370,truck
1371,automobile
1372,truck
1373,cat
1374,bird
1375,deer
1376,truck
1377,cat
1378,automobile
1379,horse
1380,frog
1381,frog
1382,bird
1383,ship
1384,truck
1385,dog
1386,cat
1387,truck
1388,dog
1389,frog
1390,frog
1391,cat
1392,bird
1393,cat
1394,frog
1395,cat
1396,automobile
1397,airplane
1398,horse
1399,deer
1400,dog
1401,frog
1402,horse
1403,frog
1404,automobile
1405,automobile
1406,truck
1407,ship
1408,automobile
1409,airplane
1410,automobile
1411,cat
1412,automobile
1413,automobile
1414,automobile
1415,horse
1416,cat
1417,truck
1418,frog
1419,ship
1420,deer
1421,frog
1422,automobile
1423,deer
1424,truck
1425,deer
1426,horse
1427,truck
1428,horse
1429,frog
1430,ship
1431,deer
1432,truck
1433,horse
1434,airplane
1435,automobile
1436,frog
1437,automobile
1438,dog
1439,automobile
1440,airplane
1441,deer
1442,cat
1443,frog
1444,automobile
1445,deer
1446,airplane
1447,ship
1448,deer
1449,frog
1450,bird
1451,frog
1452,frog
1453,dog
1454,cat
1455,frog
1456,horse
1457,automobile
1458,automobile
1459,ship
1460,frog
1461,truck
1462,deer
1463,airplane
1464,automobile
1465,truck
1466,horse
1467,automobile
1468,cat
1469,horse
1470,airplane
1471,ship
1472,horse
1473,horse
1474,cat
1475,truck
1476,horse
1477,horse
1478,horse
1479,frog
1480,ship
1481,bird
1482,ship
1483,frog
1484,deer
1485,airplane
1486,horse
1487,truck
1488,ship
1489,frog
1490,ship
1491,frog
1492,automobile
1493,automobile
1494,horse
1495,airplane
1496,frog
1497,ship
1498,cat
1499,ship
1500,automobile
1501,bird
1502,bird
1503,deer
1504,automobile
1505,bird
1506,horse
1507,truck
1508,ship
1509,automobile
1510,ship
1511,automobile
1512,ship
1513,frog
1514,airplane
1515,bird
1516,deer
1517,automobile
1518,cat
1519,frog
1520,horse
1521,horse
1522,deer
1523,deer
1524,cat
1525,cat
1526,deer
1527,cat
1528,bird
1529,frog
1530,cat
1531,horse
1532,ship
1533,deer
1534,deer
1535,deer
1536,cat
1537,deer
1538,cat
1539,bird
1540,ship
1541,deer
1542,dog
1543,dog
1544,deer
1545,truck
1546,deer
1547,bird
1548,dog
1549,automobile
1550,frog
1551,deer
1552,cat
1553,deer
1554,deer
1555,airplane
1556,ship
1557,ship
1558,deer
1559,dog
1560,horse
1561,dog
1562,frog
1563,truck
1564,automobile
1565,frog
1566,horse
1567,bird
1568,airplane
1569,automobile
1570,deer
1571,dog
1572,frog
1573,airplane
1574,truck
1575,bird
1576,frog
1577,cat
1578,frog
1579,ship
1580,dog
1581,bird
1582,truck
1583,automobile
1584,horse
1585,horse
1586,dog
1587,airplane
1588,dog
1589,frog
1590,deer
1591,automobile
1592,deer
1593,cat
1594,cat
1595,cat
1596,airplane
1597,cat
1598,dog
1599,dog
1600,ship
1601,truck
1602,horse
1603,cat
1604,automobile
1605,bird
1606,cat
1607,dog
1608,deer
1609,deer
1610,automobile
1611,cat
1612,cat
1613,ship
1614,automobile
1615,horse
1616,horse
1617,airplane
1618,horse
1619,deer
1620,automobile
1621,automobile
1622,deer
1623,bird
1624,deer
1625,cat
1626,truck
1627,truck
1628,horse
1629,truck
1630,truck
1631,automobile
1632,ship
1633,automobile
1634,frog
1635,horse
1636,dog
1637,dog
1638,deer
1639,truck
1640,horse
1641,frog
1642,dog
1643,truck
1644,frog
1645,deer
1646,airplane
1647,horse
1648,ship
1649,dog
1650,dog
1651,airplane
1652,airplane
1653,truck
1654,truck
1655,ship
1656,airplane
1657,dog
1658,deer
1659,ship
1660,cat
1661,frog
1662,horse
1663,frog
1664,airplane
1665,frog
1666,frog
1667,frog
1668,truck
1669,frog
1670,frog
1671,ship
1672,frog
1673,frog
1674,deer
1675,automobile
1676,ship
1677,automobile
1678,bird
1679,horse
1680,frog
1681,dog
1682,horse
1683,ship
1684,ship
1685,frog
1686,ship
1687,ship
1688,frog
1689,truck
1690,bird
1691,ship
1692,truck
1693,deer
1694,airplane
1695,truck
1696,airplane
1697,truck
1698,dog
1699,horse
1700,dog
1701,dog
1702,truck
1703,dog
1704,cat
1705,airplane
1706,automobile
1707,truck
1708,horse
1709,bird
1710,frog
1711,automobile
1712,airplane
1713,ship
1714,bird
1715,deer
1716,automobile
1717,horse
1718,ship
1719,airplane
1720,deer
1721,truck
1722,frog
1723,dog
1724,deer
1725,airplane
1726,airplane
1727,truck
1728,airplane
1729,ship
1730,deer
1731,frog
1732,automobile
1733,cat
1734,truck
1735,airplane
1736,dog
1737,frog
1738,dog
1739,ship
1740,automobile
1741,deer
1742,ship
1743,automobile
1744,airplane
1745,dog
1746,deer
1747,automobile
1748,airplane
1749,bird
1750,ship
1751,automobile
1752,dog
1753,frog
1754,horse
1755,horse
1756,dog
1757,frog
1758,bird
1759,horse
1760,airplane
1761,automobile
1762,deer
1763,airplane
1764,dog
1765,deer
1766,frog
1767,bird
1768,bird
1769,automobile
1770,horse
1771,bird
1772,truck
1773,dog
1774,dog
1775,cat
1776,airplane
1777,deer
1778,ship
1779,dog
1780,horse
1781,frog
1782,bird
1783,ship
1784,automobile
1785,airplane
1786,automobile
1787,dog
1788,cat
1789,airplane
1790,horse
1791,frog
1792,truck
1793,dog
1794,dog
1795,frog
1796,ship
1797,automobile
1798,frog
1799,deer
1800,deer
1801,deer
1802,bird
1803,bird
1804,automobile
1805,ship
1806,automobile
1807,dog
1808,truck
1809,ship
1810,automobile
1811,automobile
1812,horse
1813,automobile
1814,truck
1815,truck
1816,horse
1817,frog
1818,dog
1819,airplane
1820,ship
1821,deer
1822,airplane
1823,horse
1824,truck
1825,bird
1826,ship
1827,deer
1828,horse
1829,automobile
1830,cat
1831,truck
1832,frog
1833,ship
1834,truck
1835,airplane
1836,deer
1837,truck
1838,frog
1839,horse
1840,ship
1841,truck
1842,deer
1843,ship
1844,truck
1845,deer
1846,bird
1847,dog
1848,cat
1849,horse
1850,automobile
1851,airplane
1852,airplane
1853,truck
1854,dog
1855,dog
1856,ship
1857,dog
1858,horse
1859,bird
1860,ship
1861,cat
1862,deer
1863,dog
1864,horse
1865,horse
1866,ship
1867,frog
1868,horse
1869,ship
1870,bird
1871,dog
1872,dog
1873,frog
1874,ship
1875,airplane
1876,bird
1877,cat
1878,horse
1879,airplane
1880,automobile
1881,truck
1882,automobile
1883,cat
1884,bird
1885,dog
1886,truck
1887,cat
1888,bird
1889,truck
1890,frog
1891,ship
1892,frog
1893,truck
1894,cat
1895,airplane
1896,truck
1897,ship
1898,automobile
1899,horse
1900,ship
1901,dog
1902,airplane
1903,airplane
1904,automobile
1905,frog
1906,truck
1907,automobile
1908,dog
1909,cat
1910,deer
1911,frog
1912,airplane
1913,truck
1914,truck
1915,truck
1916,truck
1917,ship
1918,bird
1919,deer
1920,bird
1921,bird
1922,dog
1923,automobile
1924,automobile
1925,automobile
1926,airplane
1927,truck
1928,deer
1929,bird
1930,automobile
1931,frog
1932,airplane
1933,dog
1934,airplane
1935,bird
1936,cat
1937,truck
1938,airplane
1939,dog
1940,dog
1941,horse
1942,bird
1943,ship
1944,horse
1945,horse
1946,ship
1947,cat
1948,dog
1949,airplane
1950,dog
1951,horse
1952,deer
1953,deer
1954,bird
1955,bird
1956,horse
1957,truck
1958,frog
1959,airplane
1960,dog
1961,horse
1962,frog
1963,bird
1964,cat
1965,airplane
1966,horse
1967,horse
1968,ship
1969,truck
1970,automobile
1971,deer
1972,frog
1973,airplane
1974,frog
1975,cat
1976,dog
1977,dog
1978,frog
1979,frog
1980,truck
1981,frog
1982,frog
1983,cat
1984,horse
1985,bird
1986,deer
1987,truck
1988,dog
1989,frog
1990,deer
1991,automobile
1992,frog
1993,deer
1994,ship
1995,bird
1996,dog
1997,truck
1998,airplane
1999,dog
2000,automobile
2001,dog
2002,bird
2003,dog
2004,horse
2005,dog
2006,horse
2007,ship
2008,truck
2009,automobile
2010,bird
2011,bird
2012,dog
2013,frog
2014,ship
2015,frog
2016,frog
2017,frog
2018,frog
2019,truck
2020,truck
2021,ship
2022,dog
2023,cat
2024,frog
2025,deer
2026,dog
2027,truck
2028,horse
2029,cat
2030,frog
2031,automobile
2032,deer
2033,deer
2034,deer
2035,frog
2036,cat
2037,dog
2038,dog
2039,ship
2040,airplane
2041,airplane
2042,automobile
2043,ship
2044,dog
2045,automobile
2046,cat
2047,dog
2048,ship
2049,cat
2050,ship
2051,dog
2052,ship
2053,frog
2054,cat
2055,dog
2056,dog
2057,dog
2058,ship
2059,automobile
2060,dog
2061,cat
2062,horse
2063,automobile
2064,ship
2065,deer
2066,bird
2067,deer
2068,cat
2069,deer
2070,bird
2071,truck
2072,frog
2073,bird
2074,bird
2075,deer
2076,cat
2077,airplane
2078,frog
2079,airplane
2080,automobile
2081,cat
2082,bird
2083,bird
2084,horse
2085,bird
2086,automobile
2087,airplane
2088,horse
2089,horse
2090,bird
2091,bird
2092,automobile
2093,frog
2094,dog
2095,airplane
2096,truck
2097,bird
2098,airplane
2099,automobile
2100,bird
2101,frog
2102,airplane
2103,automobile
2104,frog
2105,frog
2106,dog
2107,cat
2108,deer
2109,airplane
2110,airplane
2111,automobile
2112,automobile
2113,airplane
2114,bird
2115,dog
2116,truck
2117,horse
2118,ship
2119,frog
2120,deer
2121,frog
2122,airplane
2123,bird
2124,airplane
2125,automobile
2126,truck
2127,deer
2128,frog
2129,truck
2130,airplane
2131,horse
2132,bird
2133,cat
2134,deer
2135,ship
2136,truck
2137,bird
2138,frog
2139,ship
2140,truck
2141,horse
2142,automobile
2143,truck
2144,cat
2145,horse
2146,bird
2147,horse
2148,truck
2149,frog
2150,truck
2151,dog
2152,horse
2153,ship
2154,cat
2155,truck
2156,ship
2157,cat
2158,truck
2159,truck
2160,airplane
2161,cat
2162,dog
2163,horse
2164,automobile
2165,airplane
2166,airplane
2167,horse
2168,dog
2169,ship
2170,bird
2171,bird
2172,bird
2173,cat
2174,truck
2175,dog
2176,automobile
2177,truck
2178,cat
2179,automobile
2180,deer
2181,cat
2182,deer
2183,deer
2184,truck
2185,airplane
2186,truck
2187,dog
2188,truck
2189,bird
2190,truck
2191,deer
2192,airplane
2193,bird
2194,ship
2195,deer
2196,ship
2197,frog
2198,ship
2199,bird
2200,bird
2201,dog
2202,truck
2203,frog
2204,truck
2205,truck
2206,automobile
2207,cat
2208,deer
2209,deer
2210,bird
2211,horse
2212,bird
2213,frog
2214,frog
2215,airplane
2216,bird
2217,ship
2218,deer
2219,dog
2220,automobile
2221,bird
2222,frog
2223,ship
2224,automobile
2225,horse
2226,frog
2227,ship
2228,horse
2229,deer
2230,cat
2231,cat
2232,cat
2233,airplane
2234,horse
2235,bird
2236,automobile
2237,frog
2238,automobile
2239,horse
2240,truck
2241,airplane
2242,cat
2243,truck
2244,truck
2245,ship
2246,truck
2247,dog
2248,ship
2249,airplane
2250,horse
2251,cat
2252,cat
2253,cat
2254,ship
2255,automobile
2256,deer
2257,airplane
2258,automobile
2259,dog
2260,deer
2261,cat
2262,deer
2263,frog
2264,airplane
2265,ship
2266,ship
2267,frog
2268,cat
2269,cat
2270,cat
2271,truck
2272,horse
2273,frog
2274,automobile
2275,frog
2276,airplane
2277,dog
2278,truck
2279,truck
2280,deer
2281,dog
2282,truck
2283,cat
2284,ship
2285,cat
2286,cat
2287,bird
2288,dog
2289,automobile
2290,truck
2291,dog
2292,dog
2293,automobile
2294,automobile
2295,ship
2296,truck
2297,horse
2298,airplane
2299,frog
2300,airplane
2301,frog
2302,airplane
2303,bird
2304,frog
2305,truck
2306,cat
2307,truck
2308,automobile
2309,frog
2310,frog
2311,horse
2312,bird
2313,frog
2314,cat
2315,bird
2316,frog
2317,dog
2318,bird
2319,horse
2320,dog
2321,cat
2322,airplane
2323,ship
2324,airplane
2325,horse
2326,horse
2327,automobile
2328,horse
2329,deer
2330,airplane
2331,deer
2332,bird
2333,frog
2334,automobile
2335,dog
2336,truck
2337,horse
2338,frog
2339,deer
2340,horse
2341,airplane
2342,dog
2343,frog
2344,airplane
2345,automobile
2346,automobile
2347,ship
2348,deer
2349,dog
2350,truck
2351,automobile
2352,bird
2353,deer
2354,ship
2355,truck
2356,ship
2357,automobile
2358,horse
2359,bird
2360,horse
2361,bird
2362,bird
2363,frog
2364,frog
2365,horse
2366,truck
2367,deer
2368,airplane
2369,automobile
2370,airplane
2371,deer
2372,dog
2373,airplane
2374,ship
2375,airplane
2376,horse
2377,frog
2378,automobile
2379,ship
2380,ship
2381,dog
2382,truck
2383,deer
2384,dog
2385,deer
2386,airplane
2387,truck
2388,airplane
2389,frog
2390,automobile
2391,dog
2392,dog
2393,automobile
2394,frog
2395,horse
2396,automobile
2397,dog
2398,ship
2399,ship
2400,airplane
2401,cat
2402,truck
2403,airplane
2404,airplane
2405,frog
2406,deer
2407,truck
2408,bird
2409,deer
2410,cat
2411,airplane
2412,frog
2413,frog
2414,dog
2415,frog
2416,frog
2417,horse
